90.09,249.60,334.69,467.79,627.62,788.12,895.15,1092.10,1258.39,1426.79,
90.86,250.55,335.43,468.76,628.30,789.00,895.96,1093.01,1258.93,1427.76,
91.63,251.50,336.17,469.73,628.98,789.88,896.77,1093.92,1259.47,1428.73,
92.40,252.45,336.91,470.70,629.66,790.76,897.58,1094.83,1260.01,1429.70,
93.17,253.40,337.65,471.67,630.34,791.64,898.39,1095.74,1260.55,1430.67,
93.94,254.35,338.39,472.64,631.02,792.52,899.20,1096.65,1261.09,1431.64,
94.71,255.30,339.13,473.61,631.70,793.40,900.01,1097.56,1261.63,1432.61,
95.48,256.25,339.87,474.58,632.38,794.28,900.82,1098.47,1262.17,1433.58,
96.25,257.20,340.61,475.55,633.06,795.16,901.63,1099.38,1262.71,1434.55,
97.02,258.15,341.35,476.52,633.74,796.04,902.44,1100.29,1263.25,1435.52,
97.79,259.10,342.09,477.49,634.42,796.92,903.25,1101.20,1263.79,1436.49,
98.56,260.05,342.83,478.46,635.10,797.80,904.06,1102.11,1264.33,1437.46,
99.33,261.00,343.57,479.43,635.78,798.68,904.87,1103.02,1264.87,1438.43,
100.10,261.95,344.31,480.40,636.46,799.56,905.68,1103.93,1265.41,1439.40,
100.87,262.90,345.05,481.37,637.14,800.44,906.49,1104.84,1265.95,1440.37,
101.64,263.85,345.79,482.34,637.82,801.32,907.30,1105.75,1266.49,1441.34,
102.41,264.80,346.53,483.31,638.50,802.20,908.11,1106.66,1267.03,1442.31,
103.18,265.75,347.27,484.28,639.18,803.08,908.92,1107.57,1267.57,1443.28,
103.95,266.70,348.01,485.25,639.86,803.96,909.73,1108.48,1268.11,1444.25,
104.72,267.65,348.75,486.22,640.54,804.84,910.54,1109.39,1268.65,1445.22,
105.49,268.60,349.49,487.19,641.22,805.72,911.35,1110.30,1269.19,1446.19,
106.26,269.55,350.23,488.16,641.90,806.60,912.16,1111.21,1269.73,1447.16,
107.03,270.50,350.97,489.13,642.58,807.48,912.97,1112.12,1270.27,1448.13,
107.80,271.45,351.71,490.10,643.26,808.36,913.78,1113.03,1270.81,1449.10,
108.57,272.40,352.45,491.07,643.94,809.24,914.59,1113.94,1271.35,1450.07,
109.34,273.35,353.19,492.04,644.62,810.12,915.40,1114.85,1271.89,1451.04,
110.11,274.30,353.93,493.01,645.30,811.00,916.21,1115.76,1272.43,1452.01,
110.88,275.25,354.67,493.98,645.98,811.88,917.02,1116.67,1272.97,1452.98,
111.65,276.20,355.41,494.95,646.66,812.76,917.83,1117.58,1273.51,1453.95,
112.42,277.15,356.15,495.92,647.34,813.64,918.64,1118.49,1274.05,1454.92,
113.19,278.10,356.89,496.89,648.02,814.52,919.45,1119.40,1274.59,1455.89,
113.96,279.05,357.63,497.86,648.70,815.40,920.26,1120.31,1275.13,1456.86,
114.73,280.00,358.37,498.83,649.38,816.28,921.07,1121.22,1275.67,1457.83,
115.50,280.95,359.11,499.80,650.06,817.16,921.88,1122.13,1276.21,1458.80,
116.27,281.90,359.85,500.77,650.74,818.04,922.69,1123.04,1276.75,1459.77,
117.04,282.85,360.59,501.74,651.42,818.92,923.50,1123.95,1277.29,1460.74,
117.81,283.80,361.33,502.71,652.10,819.80,924.31,1124.86,1277.83,1461.71,
